,FOM1,OFFSCORE,DEFSCORE,PFOM,SeedDiff,FTScore,ClassDiff,OPFOMDIF
589,0.771020408163,0.95,0.95,0.95,-15.0,1.83594405594,-1.0,0.0931017331893
590,0.413282442748,0.95,0.05,0.164444444444,9.0,0.0511690354779,2.0,0.0816356659189
591,0.115897435897,0.95,0.95,0.95,11.0,-1.34473684211,-1.0,0.157685173056
592,0.154141414141,0.05,0.95,0.698303629994,5.0,1.17826323594,-1.0,0.0705793545833
593,0.415524475524,0.05,0.862409638554,0.05,7.0,-0.879094287443,1.0,-0.0476444449876
594,0.130656934307,0.05,0.05,0.05,13.0,-2.15082301804,2.0,-0.0666962469348
595,0.585547445255,0.95,0.95,0.95,-15.0,1.48738396841,-2.0,0.0126521423259
596,0.512396694215,0.490384615385,0.490384615385,0.461341930199,7.0,-2.64345460086,0.0,-0.0113953749439
597,0.369798657718,0.05,0.95,0.926776859504,7.0,1.4369266055,1.0,0.025350560875
598,0.05,0.05,0.05,0.05,9.0,-5.89729538018,2.0,0.0297173448142
599,0.564193548387,0.95,0.05,0.2453125,-5.0,0.627828726001,0.0,0.0968086424685
600,0.495652173913,0.610769230769,0.885789473684,0.741904761905,1.0,-1.50429674433,-1.0,0.0449474808335
601,0.95,0.05,0.05,0.127480916031,-3.0,-2.68053151067,-1.0,0.0193184325513
602,0.511627906977,0.95,0.516393442623,0.687914681812,-11.0,-1.33074776207,-1.0,-0.0308409867639
603,0.223609022556,0.05,0.05,0.746052631579,11.0,2.57103257103,0.0,-0.00256531825607
604,0.214782608696,0.413684210526,0.05,0.05,13.0,-3.38362383885,2.0,-0.0746722349068
605,0.46275862069,0.95,0.95,0.95,-13.0,0.191804928276,-1.0,0.14581823029
606,0.0694871794872,0.05,0.05,0.05,15.0,-0.262724604481,2.0,-0.0888068253514
607,0.748611111111,0.95,0.51724137931,0.471510331877,5.0,-1.13868589325,0.0,-0.000553591550852
608,0.494117647059,0.05,0.05,0.95,-13.0,0.819169027384,-1.0,-0.0529504395991
609,0.87037037037,0.95,0.95,0.95,-15.0,-0.0823296061379,-2.0,0.0412394084099
610,0.46,0.95,0.487654320988,0.95,-9.0,2.45645570326,-1.0,-0.00223322719761
611,0.510638297872,0.248529411765,0.484615384615,0.702976934931,3.0,-1.35582240679,-1.0,0.000640703004737
